,BC,SVC,KNC,NC,GPC,DTC,NNC,ExTC1,ExTC2
0,0.0002090238422246615,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.03390754357311739,0.0,0.0
0,0.0001294134082993616,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.05316162654555454,0.0,0.0
0,0.0004815682278255185,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.06451456907477597,0.0,0.0
0,8.849153063654783e-05,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.040030989108521146,0.0,0.0
0,0.0003684430795731163,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.05362866613938229,0.0,0.0
0,0.0001870932342133228,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.04307529614590378,0.0,0.0
0,0.0001452756186489716,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.06958118438460616,0.0,0.0
0,4.14303295057088e-05,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.033859480796192956,0.0,0.0
0,0.0004540249583011768,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.025776951412639932,0.0,0.0
0,0.00011056945546189638,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.029201988693449296,0.0,0.0
0,0.00024294846145989156,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.042183449269956194,0.0,0.0
0,0.0004180009457216943,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.04669218414569835,0.0,0.0
0,0.00011019385270384884,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.05508518327815701,0.0,0.0
0,0.00017639599530618386,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.052115587996157675,0.0,0.0
0,0.0010935625167277896,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.03124442989354977,0.0,0.0
0,0.0005843410733991607,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.03786057223233062,0.0,0.0
0,0.00035855913757569985,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.04230191675504577,0.0,0.0
0,0.0014880871941813333,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.09491688320602812,0.0,0.0
0,0.0003403403835202694,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.04291587606925925,0.0,0.0
0,0.00014544496691338223,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.04263671257512354,0.0,0.0
0,0.0007824408612702385,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.03661301861630212,0.0,0.0
0,0.0003216758913454714,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.04691545117583632,0.0,0.0
0,0.0018039831731736428,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.058467582123177306,0.0,0.0
0,0.00027453665021237106,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.04959354445762446,0.0,0.0
0,0.00025206301534229847,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.03286464436049986,0.0,0.0
0,6.187857969629592e-05,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.054049819328332104,0.0,0.0
0,0.00044720060872100755,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.05703418106478915,0.0,0.0
0,0.0008828099933898796,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.04482167321118211,0.0,0.0
0,8.667345571983942e-05,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.060334269891114074,0.0,0.0
0,0.00024538213716083346,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.06533618581956041,0.0,0.0
0,0.00011514517418341226,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.042088318417464285,0.0,0.0
0,0.00033787623782792595,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.03970735125206977,0.0,0.0
0,0.0006459375333338923,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.07142471259539954,0.0,0.0
0,0.00039035442774798524,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.06732940043315508,0.0,0.0
0,0.0005419477819213499,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.050825493160967836,0.0,0.0
0,0.00026818396045808315,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.04869147307327585,0.0,0.0
0,7.050291554291651e-05,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.07443650100374194,0.0,0.0
0,3.3512298345751635e-05,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.07291601934787353,0.0,0.0
0,0.00022792487137859762,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.047250709379238774,0.0,0.0
0,0.0003696259761805699,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.04203881747330944,0.0,0.0
0,0.0002586235846711448,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.02594470712518615,0.0,0.0
0,8.907842031351121e-05,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.04504386167526358,0.0,0.0
0,0.00013190069015836178,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.051994361226730054,0.0,0.0
0,0.0008426793340986971,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.10310060090749924,0.0,0.0
0,0.00034046218763530484,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.051217835729675296,0.0,0.0
0,0.00034259335584102877,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.06642472414727763,0.0,0.0
0,0.0001299397562949067,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.0541553257487142,0.0,0.0
0,0.0005604525405402646,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.03315100182715707,0.0,0.0
0,0.000263839020518887,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.042562707018544,0.0,0.0
0,0.0002554358503926238,3.117981094717422e-05,0.05707009715936566,0.1865571141421032,0.0,0.0,0.05796260085346479,0.0,0.0
