x,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,SVM,GPR,NN,EN
DTLZ2_20_500uniform_noisy.csv,0.77552882320984,0.458707929273194,1.47518143210821e-05,2.30999228810814,156590.385279382,0.529258322331492,0.833754001410207,7.4004549842963,1,0.127999999999702,0.7851422761225547,0.5733296215601194,0.7918765511968253,0.833358099202464
DTLZ2_20_500uniform.csv,0.876782068864734,0.330477493494744,0.00610464056186786,2.63223342180003,431.185652148312,0.747985524891571,0.981647506011243,4.75407282282323,1,0.0889999999999418,0.8691017340049481,0.7072218528696612,0.8912810925237211,0.9420563091824973
DTLZ2_5_1000normal_noisy.csv,0.689727769223693,0.284686648740297,0.0242797949875618,1.4139233031473,58.2345651547564,0.690179404618537,0.752763982740937,2.30379629371134,0.76866303750419,0.0069999999996071,0.7590551351256718,0.0,0.7589483409987015,0.7503708767470119
DTLZ2_5_1000normal.csv,0.85453541991739,0.154145653038172,0.0154340615658433,1.65810045748712,107.431245522346,0.855295530685638,0.968682829144209,2.54184261929564,0.991100724325106,0.00700000000051659,0.9688923911749067,0.9940474286062023,0.9802385736122255,0.9897017007776141
DTLZ2_5_1000uniform_noisy.csv,0.758934677071116,0.216814553875784,0.00314611713502837,1.22985100630179,390.910749192657,0.758369708073846,0.803039561261506,2.28316335461349,0.814116788593114,0.00599999999940337,0.8107249595444915,0.0,0.8218889536596937,0.8019669348109447
DTLZ2_5_1000uniform.csv,0.895736257446637,0.137074066836221,0.00940793995778315,1.38931471734813,147.674700687131,0.895591015891809,0.987907416278815,1.70374363763312,0.999985651986438,0.00600000000031287,0.9776617372603416,0.9999988904164159,0.9884259896774588,0.9916109132899024
DTLZ2_5_100normal_noisy.csv,0.725601021395807,0.117538228295382,0.011276423123647,1.45970019169316,129.44709290237,0.71898445913278,0.760897160315529,3.23240072768235,1.2027507081679,0.00399999999990541,0.7459441582187063,0.08293346771147103,0.7473217270400634,0.7337979567436719
DTLZ2_5_100normal.csv,0.880308045488469,-0.0394755009717775,0.0307503924798847,1.69419408199811,55.095039294421,0.878706088279046,0.971497170034578,2.67559875778736,1.00874522267459,0.00500000000010914,0.8903901105640725,0.9640547211202924,0.9785099768622442,0.9539495469589307
DTLZ2_5_100uniform_noisy.csv,0.799238808925689,0.209901010040937,0.00682489399114855,1.20203179368785,176.124610176628,0.793071593303843,0.84098042522812,2.55974748215065,1.22134975020666,0.00399999999990541,0.5970256004666117,0.0,0.6187921057034329,0.6252958548429655
DTLZ2_5_100uniform.csv,0.910534689516069,0.0543659749332438,0.0108021969429461,1.41782152812428,131.25307153839,0.90674439213311,0.987427669661646,1.75292776411239,1.00001220809307,0.00400000000081491,0.957930356801723,0.9974993805078447,0.9847097083847115,0.9767872614412835
DTLZ2_5_500normal_noisy.csv,0.681680903281993,0.300702376816041,0.00676769722324913,1.39651538109523,206.350156490124,0.682717655704794,0.755982511129479,3.54468053275985,0.766436795473962,0.00500000000010914,0.7208451236667623,0.0,0.734655266779568,0.6986175139794288
DTLZ2_5_500normal.csv,0.853936392790553,0.161238667234755,0.0143692015749851,1.64897059560176,114.75728745238,0.853457450417403,0.967850651891279,2.93046178960784,0.991955808061161,0.00599999999940337,0.9625151971244701,0.9736918906298938,0.9833204971339468,0.9866869171289053
DTLZ2_5_500uniform_noisy.csv,0.768996113138892,0.252100298679918,0.00334175534361771,1.23031839678262,368.165311423039,0.767845082612638,0.816096969224182,3.20453444994812,0.835651168641041,0.00600000000031287,0.798437509801041,0.0,0.8076462847107463,0.800965540102042
DTLZ2_5_500uniform.csv,0.896004061339967,0.147513317831195,0.00248686830915127,1.38282609703794,556.05119577477,0.895881682512281,0.987111612043765,1.79307647050379,0.999983192979616,0.00600000000031287,0.9791913008925537,0.9999750253213516,0.9873393041692025,0.9869112267281581
DTLZ3_10_1000normal_noisy.csv,0.613411036247345,213.782978914299,3.27227745242797,1023.3602855821,312.736404678272,0.612823399928029,0.65599440146747,1557.89954277254,0.66221767493434,0.0190000000002328,0.003155053441082356,0.0,0.6574793043694888,0.6352837242998376
DTLZ3_10_1000normal.csv,0.708035823899388,124.43437415788,0.28426602606004,1178.79175644127,4146.79085214457,0.707400492488616,0.784780909127058,136.254231687295,0.779124705253045,0.0199999999995271,0.06234176455654761,0.048355175893163294,0.7582033978094234,0.7660457789429529
DTLZ3_10_1000uniform_noisy.csv,0.663453426785284,152.953690027231,7.08772853394298,881.645016455908,124.390347659864,0.663518977540541,0.693977783083817,72.3880017889851,0.685641617704758,0.0189999999993233,0.07800147348127628,0.0,0.6713268469434568,0.6642796672320912
DTLZ3_10_1000uniform.csv,0.751536517358652,109.452626078323,0.768736822384358,993.901552301492,1292.90223046523,0.749683408875394,0.798502636841124,489.420746524794,0.785690500412484,0.0200000000004366,0.08469866333927079,0.1633561311519397,0.8071673640284103,0.8093358440576262
DTLZ3_10_100normal_noisy.csv,0.510539523730875,364.583720464255,4.66871783036135,922.680233842842,197.63032750502,1.8386144018884,0.545023695331789,19.8240828145537,1,0.00700000000051659,0,0.0,0.4172389057415924,0.3923795210050932
DTLZ3_10_100normal.csv,0.666227389067353,224.893394206379,1.35162899348429,1111.77291215776,822.542959286323,1.48390465549226,0.774748460135617,59.4829934527996,1,0.00800000000072032,0,0.566754374462737,0.47774123990450557,0.7670443402441353
DTLZ3_10_100uniform_noisy.csv,0.714913689173559,219.374979231596,4.25245742774117,843.913339758041,198.453095439056,1.50078449267693,0.710307207696824,36.6005271976085,1,0.00700000000051659,0.010357600612738604,0.34441249458132706,0.77701924718578,0.7359129704139533
DTLZ3_10_100uniform.csv,0.712916175911428,192.848349684214,5.28144918049295,945.139559822948,178.954587561653,1.38758955599255,0.792173135755338,28.6652488449687,1,0.0069999999996071,0,0.7090715400322549,0.680837558214527,0.7374953735492809
DTLZ3_10_500normal_noisy.csv,0.619024405258652,242.499957612651,9.08407226907977,1045.37942197038,115.078281084204,0.616899981402764,0.656060502354133,59.048098192154,0.270287629643369,0.0140000000001237,0.02610973090885549,0.0,0.6627706968615665,0.6757654294787296
