file,SVM,NN,Ada,GPR
WFG1_10_500normal_noisy.p,0.081258856015476,0,0.132963711476715,0
WFG1_10_500normal.p,0,0,0.803574575538181,0.468788471139387
WFG1_10_500uniform_noisy.p,0.182790784922503,0,0.174280273524284,0
WFG1_10_500uniform.p,0,0,0.756184205092555,0.660638077141396
WFG2_10_500normal_noisy.p,0.52250947938502,0,0.590747774781803,0
WFG2_10_500normal.p,0.800350107779822,0,0.857081786021382,0.748234872295231
WFG2_10_500uniform_noisy.p,0.62438557674003,0,0.623336363847666,0
WFG2_10_500uniform.p,0.808699314355848,0,0.859118099792997,0.834252841994182
WFG3_10_500normal_noisy.p,0.587185001739988,0,0.563713121666455,0
WFG3_10_500normal.p,0.915488968787413,0,0.906555155285539,0.837922582282007
WFG3_10_500uniform_noisy.p,0.71797323328086,0,0.633366220665984,0
WFG3_10_500uniform.p,0.92542936353396,0,0.904495536576545,0.808539347077492
WFG4_10_500normal_noisy.p,0.614689627517847,0.530750884202244,0.574300812776472,0
WFG4_10_500normal.p,0.791296009237035,0.703909575798863,0.783307166826336,0.659485945941113
WFG4_10_500uniform_noisy.p,0.673061421828232,0.563902760855242,0.692901079118077,0.165153451275204
WFG4_10_500uniform.p,0.81501130924016,0.559644909405165,0.760462197377391,0.612815489648631
WFG5_10_500normal_noisy.p,0.664514379449053,0,0.624412973459725,0
WFG5_10_500normal.p,0.833518853226952,0,0.857871617978697,0.817005286852736
WFG5_10_500uniform_noisy.p,0.727543186699385,0,0.684908416281389,0.205025955108859
WFG5_10_500uniform.p,0.89040514505843,0,0.85776555313217,0.903196243610152
WFG6_10_500normal_noisy.p,0.566764898400319,0,0.566752485971417,0
WFG6_10_500normal.p,0.872014307975097,0,0.930941216550002,0.819391361822074
WFG6_10_500uniform_noisy.p,0.636446740155847,0,0.623880025442723,0
WFG6_10_500uniform.p,0.846494797791741,0,0.933461598999824,0.884689642451114
WFG7_10_500normal_noisy.p,0.61379606980852,0.406232253775914,0.569002951032862,0
WFG7_10_500normal.p,0.825861142135599,0.087729852050119,0.696520523469722,0.871315062736739
WFG7_10_500uniform_noisy.p,0.57722100589185,0.376594978079444,0.494456765586389,0
WFG7_10_500uniform.p,0.859665601280341,0.539538557692052,0.715124497863283,0.858898015103014
WFG8_10_500normal_noisy.p,0.592135448697122,0,0.590282519675514,0
WFG8_10_500normal.p,0.880168913419924,0,0.858986525350744,0.832816061055024
WFG8_10_500uniform_noisy.p,0.482222266283137,0,0.446305772026731,0
WFG8_10_500uniform.p,0.900164183080498,0,0.853646981205969,0.751604080450681
WFG9_10_500normal_noisy.p,0.268655717252448,0,0.341449314336723,0
WFG9_10_500normal.p,0.474241197520793,0,0.517232740632922,0.636436314699326
WFG9_10_500uniform_noisy.p,0.312675901366927,0,0.371664746054911,0.018458777637513
WFG9_10_500uniform.p,0.493425234055302,0,0.551838343973735,0.532552859353547
