x,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,SVM,NN,EN,GPR
WFG1_10_500normal_noisy.csv,0.159218552068795,1.26171886989261,0.000250199686531,0.111628009758416,446.155673918444,0.156355149679153,0.188742651270642,18.8586979360809,-0.596437270869308,0.152000000000001,0.081258856015476,0,0.132963711476715,0
WFG1_10_500normal.csv,0.666508576820276,1.25408485823038,0.000497702832637,0.103733265714194,208.424101515558,0.677815868151334,0.837246931142179,90.2095445971893,0.841873371912056,0.027999999999999,0,0,0.803574575538181,0.468788471139387
WFG1_10_500uniform_noisy.csv,0.141981356567894,1.21366929920296,0.002162522386216,0.119327933206883,55.1799759241658,0.109125369221967,0.147592051813288,9.38403087602995,-0.997720759509054,0.027999999999999,0.182790784922503,0,0.174280273524284,0
WFG1_10_500uniform.csv,0.65050475139987,1.23033268007781,0.000165059159417,0.103598146502503,627.642518407911,0.656856681693102,0.818452369261042,52.199178968629,0.814712125323553,0.028999999999996,0,0,0.756184205092555,0.660638077141396
WFG2_10_500normal_noisy.csv,0.579859316957043,5.11765936334359,0.001477152742073,0.71151774202553,481.681901782776,0.651868928730753,0.600324694666672,349.070780340608,0.337636286456754,0.032000000000004,0.52250947938502,0,0.590747774781803,0
WFG2_10_500normal.csv,0.744634555545594,5.25861363015652,0.015544645287631,0.841497410219729,54.1342304471433,0.851451677292788,0.773945530340203,75.1417547765466,0.888098202065297,0.029000000000004,0.800350107779822,0,0.857081786021382,0.748234872295231
WFG2_10_500uniform_noisy.csv,0.576537177673751,5.03371252141897,0.005878552301623,0.606764976594293,103.216735254158,0.65520741188452,0.613248435206132,99.9988236163969,0.3818916251977,0.027999999999999,0.62438557674003,0,0.623336363847666,0
WFG2_10_500uniform.csv,0.757898284285261,5.13803466342257,0.015761809105768,0.693043408375506,43.9697882219563,0.876695902248494,0.82293974244953,90.4251100704684,0.925579099265783,0.027999999999999,0.808699314355848,0,0.859118099792997,0.834252841994182
WFG3_10_500normal_noisy.csv,0.625926646818002,4.72396576256418,0.005420545342085,0.491041075398288,90.5888696448733,0.633069084237471,0.625148814308397,174.314284075701,0.183581184144462,0.027999999999999,0.587185001739988,0,0.563713121666455,0
WFG3_10_500normal.csv,0.967750409917688,4.80149068162516,0.012908635008926,0.599952220114051,46.4768133655654,0.976852370638466,0.975119391969795,15.3096718452078,0.996562797010987,0.027999999999999,0.915488968787413,0,0.906555155285539,0.837922582282007
