file,SVM,NN,Ada,GPR,SGD,KNR,DTR,RFR,ExTR,GBR
WFG3_10_2000_uniform.csv,0.932644412086806,0.9526478453781271,0.9073521034032661,0.9815511040081777,0.0,0.8685679061921401,0.8773696098248842,0.948446715892687,0.9591244009683573,0.978418156620288
WFG3_10_800_normal.csv,0.9094483036392724,0.0,0.9229731501666406,0.9345088021258728,0.0,0.7097933838226096,0.870428361322114,0.9440320785426531,0.9541787249692943,0.9761148191146815
WFG1_10_700_normal.csv,0.0,0.1507239849540728,0.730976622303336,0.5258064647191634,0.0,0.5785347495456733,0.7490232222455477,0.9038811183200338,0.9421752105515921,0.9609386333212551
WFG2_10_2000_uniform.csv,0.8997153285386007,0.7752520540188441,0.9000349119390989,0.9869024190820619,0.0,0.8239545276778857,0.8845419336352156,0.9526462446021786,0.9668304381535324,0.951950859463692
WFG6_20_250_uniform.csv,0.8179797831564186,0.0,0.9314011461010892,0.0,0.0,0.34675049955757953,0.8652936301826682,0.9358628116066159,0.939720548694989,0.9457636185080484
WFG3_10_600_normal.csv,0.9002915961812994,0.0,0.895179027658742,0.8676503968690091,0.0,0.6927731531261452,0.8347021550530436,0.932286723240358,0.9489047563729757,0.9739795065104317
WFG4_10_700_uniform.csv,0.8332841409592892,0.7808407605994148,0.8080073934215382,0.7166154596370808,0.45681565011023617,0.6955875760152918,0.6856706340961707,0.8655771438483685,0.878846265220973,0.9080126716355922
WFG4_20_1200_normal.csv,0.8200557485005125,0.8169884650019151,0.8396927993847907,0.6415732239742489,0.39167554898040047,0.3898652003369012,0.5804188697753041,0.858238515326088,0.866946585037777,0.9189381573161162
WFG5_10_1500_uniform.csv,0.9170667260960591,0.9153882629868476,0.8746263261032059,0.9358397975646263,0.0,0.7973429885763542,0.8527937063860713,0.9394082794125858,0.9403818836316716,0.964789934924187
WFG8_20_1000_uniform.csv,0.868751974022,0.4604240533930418,0.8965736194941314,0.0,0.0,0.6442415643173158,0.84202787455452,0.9181858805916417,0.9337168837575314,0.9660538875115487
WFG2_10_600_uniform.csv,0.8136402009287849,0.05026129417413372,0.8520596785302248,0.8613008163048352,0.0,0.7073454762209221,0.8247378046668017,0.8939913741264172,0.9139132664884779,0.9061800320689691
WFG6_20_2000_uniform.csv,0.8753011073334237,0.8209698241079126,0.9560758148713036,0.4514447021256669,0.0,0.6307248266874026,0.9510841084117309,0.9684492636660255,0.9743267693222467,0.984083238548491
WFG1_20_900_uniform.csv,0.0,0.0,0.8281282654009426,0.0,0.0,0.39510687895552854,0.8005613487877798,0.8988896689472614,0.9125731754655645,0.9493472566242995
WFG6_10_100_normal.csv,0.7940327509139677,0.0,0.9292798455336783,0.0,0.0,0.5694475600279072,0.9113338919640143,0.9217250401449469,0.9226285656330684,0.9280325702378679
WFG1_10_800_normal.csv,0.0,0.2957919345341701,0.8617422820519423,0.6697078968886476,0.0,0.47397119088683104,0.8646190675254948,0.9196059969799474,0.9406489130912281,0.9578782893168186
WFG6_10_350_uniform.csv,0.8332862314466363,0.0,0.9272221203325379,0.8156541538462112,0.0,0.6989000046869895,0.8392010576399869,0.930429833055025,0.9430869241613498,0.9633575998846275
WFG4_20_2000_uniform.csv,0.8315142546943162,0.8674306066565933,0.8612326740617987,0.7995847192122263,0.5548763476079615,0.5718060209003958,0.7425826458522888,0.872159594458792,0.8800993407500225,0.9217330715362915
WFG8_20_800_uniform.csv,0.853628636931387,0.0,0.9087971189550499,0.0,0.0,0.6090520920416986,0.8347717078653812,0.9171361941987821,0.9353535381251317,0.964231061170894
WFG8_10_700_uniform.csv,0.875366285838111,0.0,0.8724776528663272,0.7673533722031929,0.0,0.7758572455704087,0.7776253876387943,0.8872486301701523,0.9174114138036168,0.9472233449888933
WFG2_10_900_normal.csv,0.7999092703230314,0.5669455557450493,0.8888480592200881,0.8358695882392613,0.0,0.6273486505788115,0.8289088300236672,0.9250193412070787,0.9433492830867223,0.921074037529092
WFG9_10_500_normal.csv,0.3095431960262426,0.0,0.5835853675931115,0.6325124009997942,0.0,0.18496350030942033,0.5466918436702637,0.6603119668489528,0.6337896243100328,0.734689605654164
WFG3_10_900_uniform.csv,0.9165274411055897,0.7492420770237309,0.9203605364271833,0.9033309997805916,0.0,0.8132539516437305,0.8683547458709064,0.9320732971432021,0.9496895740084976,0.9737775739648832
WFG3_30_300_normal.csv,0.8090687506346267,0.0,0.8577490566503378,0.0,0.0,0.18015257067145107,0.6433938970006803,0.8210673087007831,0.8676268622915176,0.9378258364664379
WFG8_20_350_uniform.csv,0.8531080636855547,0.0,0.8818966195229232,0.0,0.0,0.549766844817051,0.7859444455063765,0.868059339231807,0.8976976639527587,0.9559322102063375
WFG1_30_150_uniform.csv,0.0,0.0,0.7801724451967078,0.0,0.0,0.15768032325243442,0.5698349564104468,0.7721504417202575,0.7947496065388711,0.8254224467712157
WFG3_10_700_uniform.csv,0.9143041636897309,0.0,0.9006149950201979,0.9079743259425135,0.0,0.8175904280607452,0.8361503500934211,0.9355954722339498,0.938733013442118,0.9648229781472298
WFG7_10_400_normal.csv,0.8066648221351544,0.6669036268635986,0.5799000385744351,0.8624647956538768,0.0,0.6127559295790024,0.15055925098396783,0.687593721283523,0.6900542859156787,0.806833807661108
WFG3_20_700_uniform.csv,0.8870967695774601,0.0,0.9107841791808813,0.0,0.0,0.610221581212841,0.8577225138097867,0.9260726301012459,0.9462142875933631,0.97631255971527
WFG2_20_400_normal.csv,0.6519150614651049,0.0,0.8599669253327511,0.0,0.0,0.22423055507240552,0.6284537791097886,0.8158774344606506,0.8956218928060495,0.9007266180848313
WFG2_10_150_normal.csv,0.6745954118214942,0.0,0.864352195575696,0.5342487998785872,0.0,0.32195540518251686,0.7772790190218912,0.8482794572132188,0.8356503103631927,0.8902228516227524
WFG1_30_1000_uniform.csv,0.0,0.0,0.7490510849694618,0.0,0.0,0.33304967044562384,0.7210837952505547,0.8525649226456097,0.8622506922188018,0.9013504287920128
WFG4_30_600_uniform.csv,0.7885878091941456,0.7100729347478877,0.8253414320312171,0.0,0.24921323262975892,0.38489653157843184,0.5978701661202941,0.8275404502436794,0.8319475062357862,0.8856739116234337
WFG7_20_100_uniform.csv,0.7540770528961436,0.0,0.6229197293947781,0.0,0.0,0.3869534315604367,0.19439140915627062,0.6077447984638777,0.6563243608800572,0.6504304272019192
