SVM,NN,Ada,GPR,SGD,KNR,DTR,RFR,ExTR,GBR,Predicted,files
0.016204384619805,0.0,0.9692488887485641,0.992379491125619,0.873520633573083,0.9492543189339889,0.951741980104609,0.978800401933865,0.990139559510275,0.9831733293147409,0.978800401933865,four_bar_f1_100.csv
0.388050973962136,0.0,0.9504589571407959,0.999999138800299,0.9797457555164879,0.97777938344108,0.953353480438847,0.9825858642977808,0.9880492249401879,0.992158267884955,0.9825858642977808,four_bar_f1_1000.csv
0.0,0.0,0.914645777009008,0.9872218016416899,0.897523789650664,0.9258453621128491,0.895339362553315,0.9232530851317909,0.9551469249930931,0.9560529428744928,0.9232530851317909,four_bar_f1_150.csv
0.056771483931277004,0.0,0.9265794947741899,0.9987052444307671,0.9120051793877041,0.9468568914306421,0.8959005048422048,0.9561429650464681,0.9801486387828101,0.9659095178148951,0.9561429650464681,four_bar_f1_200.csv
0.171531827699362,0.0,0.9581617922048772,0.999987757855928,0.9529867950616742,0.971555284974564,0.9208449058138829,0.976903691511126,0.9857204536815201,0.990458848107778,0.976903691511126,four_bar_f1_400.csv
0.007561316500253,0.0,0.828760390154131,0.937434062544629,0.7900807795561579,0.850046330392399,0.7432573693015442,0.8131450314760742,0.91949207889761,0.8861960201385171,0.8131450314760742,four_bar_f1_50.csv
0.278195095307341,0.0,0.95076426766408,0.99999582120428,0.9699657135554741,0.971254476889136,0.946866860618765,0.978862010370552,0.986137742957991,0.987420872679663,0.978862010370552,four_bar_f1_700.csv
0.0,0.0,0.80177634416925,0.9711825089870051,0.0,0.771388631496555,0.668482878590777,0.8124069638803301,0.861240231206236,0.8479830778071991,0.8124069638803301,four_bar_f2_100.csv
0.0,0.0,0.8813733954028249,0.9999988164279741,0.30716301260695195,0.961749032979179,0.840927864960622,0.9479784267920659,0.974188541235792,0.9836350548360779,0.9479784267920659,four_bar_f2_1000.csv
0.0,0.0,0.801675641675838,0.9959112906407851,0.041562325908691,0.8113735696597592,0.539997062521449,0.8623317246578429,0.9156642418380431,0.903238311591399,0.8623317246578429,four_bar_f2_150.csv
0.0,0.0,0.8398764814186759,0.9968254453813531,0.0,0.9145251291787891,0.799286077152658,0.907142450389624,0.9507054196370579,0.950256299566311,0.907142450389624,four_bar_f2_200.csv
0.0,0.0,0.87473508835277,0.999907525168789,0.150784875979953,0.919727566279535,0.7729465910622929,0.9557782053360079,0.9601818789912671,0.969336318239028,0.9557782053360079,four_bar_f2_400.csv
0.0,0.0,0.7234816974556451,0.956829934717792,0.0,0.7950056559005829,0.703795444529722,0.7964813762970508,0.8497619443680919,0.843243793452845,0.7964813762970508,four_bar_f2_50.csv
0.0,0.0,0.8800971874962829,0.99998189951793,0.17947151787692497,0.952248659164491,0.837312032110967,0.956704239064945,0.970821304211262,0.982139393953856,0.956704239064945,four_bar_f2_700.csv
0.0,0.708873277049393,0.638997386191942,0.0,0.0,0.58032426238351,0.36009120815723905,0.616604058414329,0.8106151774897622,0.6856014808634,0.616604058414329,gear_train_f1_100.csv
0.0,0.8851672262478499,0.6388459290990689,0.0,0.0,0.721125210160646,0.7408530888903392,0.836642460629014,0.867100403012455,0.853808966110205,0.836642460629014,gear_train_f1_1000.csv
0.0,0.8434232745995079,0.261795310913814,0.0,0.0,0.5955773947306789,0.0,0.644646079296114,0.7967555413489049,0.380115265848865,0.644646079296114,gear_train_f1_150.csv
0.0,0.8336672908530551,0.371980248877687,0.0,0.0,0.6945489154906839,0.29122533517165505,0.618454564102355,0.7763945213841981,0.5644295356972839,0.618454564102355,gear_train_f1_200.csv
0.0,0.624545165502022,0.30463370328407,0.0,0.0,0.472845171708135,0.36220887176561495,0.636144150934661,0.72716951582501,0.639460397453093,0.636144150934661,gear_train_f1_400.csv
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gear_train_f1_50.csv
0.0,0.880951240973144,0.562281178482097,0.0,0.0,0.70758819156276,0.7262226367318991,0.7607220635411469,0.789158360334816,0.6750385136019449,0.7607220635411469,gear_train_f1_700.csv
0.981961810885981,0.0,0.9667275489114809,0.9998719658213009,0.0,0.950428259453424,0.907805887173741,0.974921504755146,0.9834155479980909,0.9767383172447289,0.974921504755146,kursawe_f1_100.csv
0.9938262974085921,0.0,0.9483083249530759,0.999995963619348,0.0,0.9896965507603821,0.964692785034687,0.98918225592471,0.994493042674532,0.9921767842655059,0.98918225592471,kursawe_f1_1000.csv
0.9859794357239079,0.0,0.920787470961265,0.9999156700848341,0.0,0.9362392023293321,0.9171404363662429,0.958251631776516,0.97812447188648,0.9680475531029781,0.958251631776516,kursawe_f1_150.csv
0.986304725303493,0.0,0.911810312348259,0.9999580187327379,0.0,0.9674887117226579,0.8813281050744909,0.952126416839229,0.977327716619754,0.976884200508118,0.952126416839229,kursawe_f1_200.csv
0.9917014288988829,0.0,0.9268667393501858,0.999938575731771,0.0,0.9758158679233259,0.943778513318872,0.9769907722974351,0.9882739492503421,0.9817842831698219,0.9769907722974351,kursawe_f1_400.csv
0.9124019495887842,0.0,0.7392835554016751,0.9932223243266559,0.0,0.713723554032878,0.7025594631716321,0.809088894821797,0.9379448497096009,0.8452062185855942,0.809088894821797,kursawe_f1_50.csv
0.992126736063409,0.0,0.9409368454456579,0.999987740614845,0.0,0.985141276008793,0.9587008197799659,0.9864900525879631,0.992729956271729,0.990907732062047,0.9864900525879631,kursawe_f1_700.csv
