files,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,numsamples,dimensionality,is_uniform,SVM,NN,Ada,GPR,SGD,KNR,DTR,RFR,ExTR
WFG3_20_1200_uniform.csv,0.997825291156266,4.69813784506189,0.002844156611177,0.497970256325031,175.085385371564,0.999318932496903,0.998238662866369,361.184904950069,1.00002916547811,1.76199999999972,1200,20,1,0.896861872256197,0.848237586329609,0.924788055014352,0,0,0.709283307011883,0.868114534709886,0.952232517459002,0.965205676798348
WFG3_20_150_normal.csv,0.974763272149192,4.81122983906529,0.000176445018378,0.610526165218459,3460.14963091449,1,0.976095736229189,442.134128518841,1,0.105999999999767,150,20,0,0.740168144710272,0,0.878533597259514,0,0,0.066124408119072,0.732198689102282,0.859287094156698,0.862400943986711
WFG3_20_150_uniform.csv,0.997418057903598,4.70506321294071,0.001634287405985,0.507564333361319,310.572260119352,1,0.997874849907107,60.3346554174508,1,0.085000000000036,150,20,1,0.838380363714058,0,0.73141665369861,0,0,0.579907177001704,0.530293002535453,0.710162174693362,0.822334771581541
WFG3_20_1500_normal.csv,0.974906260788435,4.78066341615101,0.000711429437554,0.603885719612385,848.834315443248,0.976043565429614,0.980031346588826,223.708085207263,1.00245760629459,2.49299999999948,1500,20,0,0.890552516948693,0.885158259808748,0.929090811690094,0,0,0.488946941934458,0.896650233681224,0.949484865075991,0.969393566211687
WFG3_20_1500_uniform.csv,0.997742632130048,4.69039163971976,0.00140184388546,0.499525462801097,356.334587597274,0.99929322018566,0.998228741026122,108.253635656503,1.00022252473081,2.2480000000005,1500,20,1,0.897426073539167,0.917347779519044,0.918450575749484,0,0,0.673774030174771,0.889397912877514,0.952099720233129,0.963762783683108
WFG3_20_200_normal.csv,0.970404183948199,4.79290662957664,0.002604267181629,0.599983080338991,230.384610523563,1,0.9759463632623,369.665965140225,1,0.155999999999949,200,20,0,0.808256807812756,0,0.855492151253729,0,0,0.090343955066526,0.741990577777974,0.822434739770313,0.87175218820066
WFG3_20_200_uniform.csv,0.997966750462817,4.69082666539197,0.000428769001967,0.502139862954759,1171.11978863098,1,0.998244180587636,42.9529712129861,1,0.118999999999687,200,20,1,0.805111916467306,0,0.82338694385189,0,0,0.34384974741096,0.782838056116421,0.840056489666125,0.867649054758571
WFG3_20_2000_normal.csv,0.974952768873341,4.78093324212421,0.000192889296117,0.604814483832511,3135.55234016669,0.976724103588214,0.979817364476929,192.590751881259,0.997636554047174,3.52900000000045,2000,20,0,0.893657482507108,0.902859717580763,0.93341196182389,0.280795136004691,0,0.532334654675166,0.899856518721842,0.964492841921288,0.977255790596086
WFG3_20_2000_uniform.csv,0.99781937800102,4.6961298133245,0.002553422979284,0.500707427933597,196.092630165808,0.99929022881389,0.998300103256671,26.8002860692049,0.999808247379207,3.40800000000036,2000,20,1,0.909648020871195,0.936242810902395,0.93292297584197,0.168388172997552,0,0.702939272065781,0.907892901666475,0.961392048957225,0.972111349887304
WFG3_20_250_normal.csv,0.976533530289093,4.75082081245449,2.78702601156919E-05,0.608026467314267,21816.318354773,1.00060774466764,0.979014824719483,1934.48213756565,1,0.182999999999993,250,20,0,0.844255320248228,0,0.914976521777499,0,0,0.385472281046094,0.779407121553191,0.906773313679112,0.922403412327884
WFG3_20_250_uniform.csv,0.997906808215479,4.69817168400966,0.000509705095699,0.502197911130326,985.271513601998,1.00002070560863,0.998164974070504,113.404814920427,1,0.212000000000444,250,20,1,0.8585324148449,0,0.88551034742886,0,0,0.553423349422633,0.77682822770205,0.890650071612575,0.903448120977187
WFG3_20_300_normal.csv,0.970942105260491,4.77485010277997,0.001744035884632,0.604934558937373,346.85900919116,1.00469549477903,0.976622860539898,160.639256152977,1,0.259000000000015,300,20,0,0.814930506676018,0,0.889509527567962,0,0,0.214591503864914,0.796971680645704,0.885457827346166,0.901998924434039
WFG3_20_300_uniform.csv,0.997667851613846,4.69538262347558,0.002509937290547,0.499909404980254,199.172069701888,1.00015218500769,0.998181451301328,30.1353873186788,1,0.355999999999767,300,20,1,0.87030057231638,0,0.875744350306008,0,0,0.524795740709673,0.767269982434408,0.863232665103739,0.899245060747729
WFG3_20_350_normal.csv,0.977028672095397,4.78351720418191,1.36931893735246E-05,0.602417933253393,43993.9824697198,1.0158718181208,0.980984994513291,922.299883162005,1,0.201000000000022,350,20,0,0.823179828429271,0,0.909981459137638,0,0,0.385389390597659,0.848296639962733,0.90466534928299,0.919387781201103
WFG3_20_350_uniform.csv,0.997742154451049,4.69281664090296,0.000163378931663,0.502546310309504,3075.95541967075,1.00051598759102,0.998276095173802,151.393403092595,1,0.256000000000313,350,20,1,0.877180296551148,0,0.888871767357958,0,0,0.656850189320904,0.802072649886324,0.895982934386279,0.929331363739998
WFG3_20_400_normal.csv,0.975147727589078,4.78199229045419,0.000229900654481,0.603922652965259,2626.88531413251,1.09944203137968,0.980049052035643,109.795584069222,1,0.215000000000146,400,20,0,0.868118452622543,0,0.858929561894525,0,0,0.403881782707007,0.786156020049231,0.880435802465338,0.919135320897454
WFG3_20_400_uniform.csv,0.998012133617261,4.69126626777519,0.000331986560802,0.500387079918631,1507.25101253864,1.00227902170806,0.998525950321298,32.0636886616485,1,0.1899999999996,400,20,1,0.890326208714473,0,0.909540596404433,0,0,0.569370152186538,0.869025345404846,0.913467440331644,0.929971485796136
WFG3_20_500_normal.csv,0.975576653482562,4.76901465003986,0.00040984234325,0.603540611530834,1472.61653528767,0.955546046677247,0.980579324073897,83.4465762229923,1,0.269000000000233,500,20,0,0.868900029351476,0,0.900081750451065,0,0,0.460269676530084,0.786179078313571,0.913368079145725,0.934448516580211
WFG3_20_500_uniform.csv,0.99761159322903,4.69710529608088,0.002386705843452,0.498660105240227,208.932368690648,0.998422511879002,0.998190419177285,76.8813183326242,1,0.189000000000306,500,20,1,0.89224158873216,0,0.917658649977973,0,0,0.657758230681531,0.827684642628279,0.942466131470556,0.95039034294554
